,country,age,overall_score,gender,country_id
38009,US,31,33,M,234
38010,US,20,27,0,234
38011,US,37,20,M,234
38012,IN,15,25,M,106
38013,AU,14,25,F,13
38014,GB,19,23,F,78
38015,SE,15,25,M,198
38016,DE,20,21,F,57
38017,GB,28,20,M,78
38018,DE,15,31,F,57
38019,US,45,27,M,234
38020,AU,21,26,F,13
38021,GB,43,26,F,78
38022,US,15,25,F,234
38023,AU,34,24,F,13
38024,CA,21,26,M,38
38025,CZ,22,32,F,56
38026,GB,23,24,M,78
38027,ZA,40,28,F,248
38028,PH,36,30,F,178
38029,DE,31,27,M,57
38030,US,57,25,M,234
38031,US,42,27,F,234
38032,IN,25,29,M,106
38033,GB,16,27,F,78
38034,GB,21,29,M,78
38035,AU,19,25,M,13
38036,US,52,23,M,234
38037,PL,16,26,M,180
38038,GB,45,25,F,78
38039,GB,17,26,F,78
38040,CA,23,27,F,38
38041,CA,28,28,F,38
38042,NL,25,32,F,167
38043,US,17,26,F,234
38044,GB,28,29,F,78
38045,US,26,33,F,234
38046,US,16,27,F,234
38047,FI,16,30,F,71
38048,US,50,30,M,234
38049,US,48,26,F,234
38050,US,36,25,F,234
38051,GB,14,26,F,78
38052,US,19,30,M,234
38053,US,24,28,F,234
38054,US,34,22,M,234
38055,GB,23,26,M,78
38056,US,18,24,F,234
38057,GB,41,25,M,78
38058,GB,22,28,F,78
38059,US,24,26,F,234
38060,PL,21,33,F,180
38061,US,22,23,M,234
38062,KR,27,26,F,123
38063,GB,21,26,F,78
38064,CA,20,25,M,38
38065,US,38,27,M,234
38066,GB,33,25,M,78
38067,GB,19,24,M,78
38068,GB,15,18,F,78
38069,ZA,22,25,M,248
38070,GB,25,28,F,78
38071,GB,14,27,F,78
38072,GB,39,31,F,78
38073,US,16,26,M,234
38074,US,26,26,F,234
38075,US,40,26,M,234
38076,GB,18,24,M,78
38077,GB,18,25,F,78
38078,US,18,27,M,234
38079,AU,21,28,F,13
38080,CO,26,30,M,49
38081,AU,14,25,F,13
38082,US,36,26,M,234
38083,US,17,29,F,234
38084,US,19,27,F,234
38085,US,19,28,M,234
38086,CA,35,28,F,38
38087,US,19,28,M,234
38088,US,30,26,M,234
38089,GB,23,29,0,78
38090,US,61,20,F,234
38091,CA,28,25,F,38
38092,US,23,22,F,234
38093,DE,23,31,M,57
38094,US,20,26,F,234
38095,BR,24,27,M,31
38096,IN,29,29,F,106
38097,US,16,25,F,234
38098,US,57,27,F,234
38099,PH,60,26,M,178
38100,US,21,24,F,234
38101,CA,19,25,F,38
38102,US,19,26,M,234
38103,US,17,25,M,234
38104,US,62,29,F,234
38105,US,16,28,M,234
38106,US,23,25,F,234
38107,NZ,49,29,F,172
38108,US,33,26,M,234
38109,US,19,27,M,234
38110,CA,48,27,F,38
38111,CA,39,21,M,38
38112,RU,37,25,F,192
38113,US,20,26,F,234
38114,TH,60,28,M,219
38115,AU,49,29,F,13
38116,CA,21,26,F,38
38117,US,17,26,M,234
38118,PH,14,28,F,178
38119,PH,19,26,M,178
38120,AU,18,27,M,13
38121,US,19,32,M,234
38122,US,42,27,F,234
38123,US,18,25,F,234
38124,US,18,30,F,234
38125,GB,68,29,M,78
38126,RS,37,26,M,191
38127,AU,21,40,M,13
38128,NL,20,26,F,167
38129,GB,47,28,M,78
38130,GB,57,23,M,78
38131,PH,19,24,F,178
38132,GB,16,28,M,78
38133,GB,16,25,M,78
38134,GB,16,24,M,78
38135,GB,17,26,M,78
38136,GB,16,28,M,78
38137,GB,16,23,M,78
38138,GB,24,26,M,78
38139,GB,16,26,M,78
38140,GB,16,25,M,78
38141,GB,18,27,F,78
38142,GB,16,24,M,78
38143,US,37,34,M,234
38144,IN,26,19,F,106
